"Customer.ID","Recency","Frequency","Monetary","R_Score","F_Score","M_Score","RFM_Score"
12346,326,12,77556.46,2,4,4,244
12347,3,8,5633.31999999999,4,4,4,444
12348,76,5,2019.4,3,3,3,333
12349,19,4,4428.69,4,3,4,434
12350,311,1,334.4,2,1,1,211
12351,376,1,300.93,2,1,1,211
12352,37,10,2849.84,3,4,4,344
12353,205,2,406.76,2,2,2,222
12354,233,1,1079.4,2,1,3,213
12355,215,2,947.61,2,2,3,223
12356,23,6,6373.68,4,3,4,434
12357,34,3,18287.66,3,2,4,324
12358,2,5,3887.07,4,3,4,434
12359,58,10,8935.93999999999,3,4,4,344
12360,53,8,4252.89,3,4,4,344
12361,288,4,511.25,2,3,2,232
12362,4,11,5356.23,4,4,4,444
12363,110,2,552,2,2,2,222
12364,8,4,1313.1,4,3,3,433
12365,292,2,641.38,2,2,2,222
12366,634,1,500.24,1,1,2,112
12367,5,1,168.9,4,1,1,411
12368,629,1,917.7,1,1,3,113
12369,414,3,1791.15,1,2,3,123
12370,52,7,4320.31,3,3,4,334
12371,45,5,4067.38,3,3,4,334
12372,72,3,1298.04,3,2,3,323
12373,312,3,1127.65,2,2,3,223
12374,26,4,2989.22,3,3,4,334
12375,11,2,457.5,4,2,2,422
12376,390,2,503.15,1,2,2,122
12377,316,4,3426.32,2,3,4,234
12378,130,2,5416.32,2,2,4,224
12379,82,4,1620.22,3,3,3,333
12380,22,11,9676.3,4,4,4,444
12381,5,5,1845.31,4,3,3,433
12383,185,5,1850.56,2,3,3,233
12384,29,2,585.27,3,2,2,322
12385,380,1,1938.4,1,1,3,113
12386,338,2,660.8,2,2,2,222
12387,416,1,143.94,1,1,1,111
12388,16,8,3901.11,4,4,4,444
12389,403,3,1433.33,1,2,3,123
12390,80,1,549.84,3,1,2,312
12391,22,6,2773.41999999999,4,3,4,434
12392,592,1,234.75,1,1,1,111
12393,73,6,2399.45,3,3,4,334
12394,64,2,1272.48,3,2,3,323
12395,20,15,5067.27,4,4,4,444
12396,675,1,931.430000000001,1,1,3,113
12397,36,2,2409.9,3,2,4,324
12398,46,1,1635.66,3,1,3,313
12399,120,7,1962.3,2,3,3,233
12400,415,1,205.25,1,1,1,111
12401,304,1,84.3,2,1,1,211
12402,324,6,1256.9,2,3,3,233
12403,50,2,1019.36,3,2,3,323
12404,683,1,63.24,1,1,1,111
12405,149,1,1710.39,2,1,3,213
12406,23,5,6390.36,4,3,4,434
12407,50,5,1708.12,3,3,3,333
12408,33,8,4340.77,3,4,4,344
12409,79,7,23419.29,3,3,4,334
12410,309,3,1013.71,2,2,3,223
12411,410,1,346.9,1,1,1,111
12412,75,6,2596.93,3,3,4,334
12413,67,4,999.45,3,3,3,333
12414,218,6,952.41,2,3,3,233
12415,25,28,144458.37,4,4,4,444
12416,657,1,202.56,1,1,1,111
12417,4,20,6816.91,4,4,4,444
12418,113,4,2021.2,2,3,3,233
12419,386,2,503.01,1,2,2,122
12420,64,1,600.39,3,1,2,312
12421,16,6,1098.6,4,3,3,433
12422,96,17,5231.8,2,4,4,244
12423,1,10,2622.39,4,4,4,444
12424,163,4,3340.03,2,3,4,234
12425,79,2,1741.41,3,2,3,323
12426,195,2,1345.21,2,2,3,223
12427,22,3,1129.3,4,2,3,423
12428,26,9,7956.46,3,4,4,344
12429,10,8,7485.91,4,4,4,444
12430,44,1,256.4,3,1,1,311
12431,36,27,10857.97,3,4,4,344
12432,43,5,5059.32,3,3,4,334
12433,1,10,20581.26,4,4,4,444
12434,85,3,1103.43,3,2,3,323
12435,80,6,13925.93,3,3,4,334
12436,100,1,509.01,2,1,2,212
12437,2,39,12683.4,4,4,4,444
12438,15,2,2906.85,4,2,4,424
12439,683,2,1158.18,1,2,3,123
12440,463,2,859.2,1,2,2,122
12441,367,1,347.1,2,1,1,211
12442,4,1,172.06,4,1,1,411
12443,733,1,485.31,1,1,2,112
12444,22,5,5005.46,4,3,4,434
12445,23,2,434.98,4,2,2,422
12446,58,1,1002.31,3,1,3,313
12447,244,1,476.49,2,1,2,212
12448,45,1,449.45,3,1,2,312
12449,23,6,4835.89,4,3,4,434
12450,157,5,688.2,2,3,2,232
12451,11,8,12669.88,4,4,4,444
12452,17,2,430.57,4,2,2,422
12453,135,1,707.09,2,1,2,212
12454,57,5,16679.78,3,3,4,334
12455,74,10,5879.95,3,4,4,344
12456,45,3,3181.04,3,2,4,324
12457,67,8,2995.91,3,4,4,344
12458,72,4,1777.49,3,3,3,333
12459,606,1,454.36,1,1,2,112
12460,457,1,326.65,1,1,1,111
12461,95,2,826.88,3,2,2,322
12462,19,2,1189.59,4,2,3,423
12463,54,4,1344.78,3,3,3,333
12464,11,8,1212.05,4,4,3,443
12465,18,2,742.19,4,2,2,422
12466,683,1,56.73,1,1,1,111
12467,424,1,132.8,1,1,1,111
12468,188,5,3670.74,2,3,4,234
12469,523,2,3070.54,1,2,4,124
12470,690,1,211.95,1,1,1,111
12471,3,79,39963.79,4,4,4,444
12472,33,19,17880.59,3,4,4,344
12473,30,5,3938.55,3,3,4,334
12474,18,31,12424.45,4,4,4,444
12475,54,2,1149.64,3,2,3,323
12476,16,23,14115.41,4,4,4,444
12477,23,9,20276.37,4,4,4,444
